原始岗位,数据质量,招聘市场真实对应,样本数,中位月薪,备注
AIGC设计师,A,AIGC设计师 / AI视觉设计师,22,10500,
AI产品经理,A,AI产品经理,60,16000,
AI安全治理专家,A,AI安全工程师 / AI治理专家,60,20000,
AI工程师,A,AI工程师 / 人工智能开发工程师,60,15500,
AI提示词工程师,A,Prompt工程师 / AI提示词工程师,9,9500,
AI算法工程师,A,AI算法工程师,60,20500,
AI训练师,A,AI训练师 / 数据标注师,40,9500,降级→AI训练，匹配度高
ESG分析师,A,ESG分析师 / 可持续发展分析师,9,10000,
IC验证工程师,A,IC验证工程师 / 芯片验证工程师,60,30000,
IT支持工程师,A,IT技术支持工程师 / 桌面运维,60,10000,
MLOps工程师,A,MLOps工程师 / AI运维工程师,2,25000,
PMO,A,PMO / 项目管理,60,13500,
上门维修师,A,上门维修工程师 / 家电维修师,5,9500,
中学教师,A,中学教师（民办/培训为主）,60,9000,
临床研究协调员,A,临床研究协调员 / CRA / CRC,60,6500,
二手车经纪人,A,二手车销售 / 汽车经纪人,60,12000,
云计算架构师,A,云计算架构师 / 云平台工程师,60,12000,
交互设计师,A,交互设计师 / UX设计师,60,13500,
企业咨询顾问,A,管理咨询顾问 / 企业咨询,60,12000,
低代码自动化工程师,A,低代码开发工程师,60,10000,
保险代理人,A,保险代理人 / 保险销售,60,12000,
保险精算师,A,精算师 / 保险精算,60,15000,
信息安全经理,A,信息安全经理 / 网络安全负责人,60,12000,
储能系统工程师,A,储能系统工程师,60,18000,
光伏工程师,A,光伏工程师 / 光伏系统设计,60,10000,
公交司机,A,公交驾驶员,7,11000,
公立医院护士,A,护士 / 护理人员（以民营医院为主）,60,4500,
公立医院药师,A,执业药师 / 药房药师（以药店/民营为主）,60,5000,
养殖工,A,养殖工 / 畜牧养殖,30,6500,
内容运营,A,内容运营 / 新媒体运营,60,7500,
冷链司机,A,冷链配送司机 / 冷藏车驾驶员,35,9000,
制药工人,A,制药操作工 / 药品生产工,60,5500,
制衣工,A,服装制作工 / 缝纫工,10,6500,
医疗产品经理,A,医疗产品经理 / 医疗器械PM,60,12500,
半导体工艺工程师,A,半导体工艺工程师,60,12500,
厨师长,A,厨师长 / 行政总厨,60,9000,
叉车司机,A,叉车司机 / 叉车操作工,60,6500,
合规经理,A,合规经理 / 法务合规,60,10000,
售票员,A,售票员 / 票务员,60,4500,
售货员,A,导购员 / 销售员,60,6000,
商业分析师,A,商业分析师 / BA,60,15000,
商业运营,A,商业运营 / 品牌运营,60,8000,
国际物流专员,A,国际物流专员 / 货代操作,60,6000,
在线教育运营,A,在线教育运营 / 教育平台运营,7,12500,
地图算法工程师,A,地图算法工程师 / 导航算法工程师,7,45000,
地铁站务员,A,地铁站务员,60,5500,
增长产品经理,A,增长产品经理 / 用户增长PM,14,32500,
大学讲师,A,大学讲师 / 高校教师（以民办高校为主）,60,9500,
婚礼策划师,A,婚礼策划师 / 婚庆策划,60,8500,
宠物美容师,A,宠物美容师,60,6500,
宠物训练师,A,宠物训练师 / 宠物行为师,60,6500,
客户成功经理,A,客户成功经理 / CSM,60,9500,
客房服务员,A,客房服务员 / 酒店保洁,60,4000,
家政服务经理,A,家政服务经理 / 家政运营,60,9500,
家电维修,A,家电维修工 / 售后工程师,60,9000,
工厂工人,A,普工 / 操作工,60,6000,
市场监管专员,A,市场监管 / 合规专员（企业端）,60,5500,
康复治疗师,A,康复治疗师,60,9500,
建筑工人,A,建筑工 / 施工工人,60,6000,
心理咨询师,A,心理咨询师,60,8500,
战略规划,A,战略规划经理 / 战略分析,60,17500,
房地产中介,A,房产经纪人 / 二手房销售,60,11000,
房地产策划,A,房地产策划 / 营销策划,60,9000,
手机维修,A,手机维修技师,60,6000,
技术写作,A,技术文档工程师 / 技术写作,6,13500,
投研分析师,A,投研分析师 / 行业研究员,60,9000,
插画师,A,插画师 / 原画师,60,8000,
搬运工,A,搬运工 / 装卸工,60,6500,
摄影后期,A,摄影后期修图师,60,6500,
收银员,A,收银员,60,4000,
政府信息化工程师,A,政务信息化工程师 / 智慧城市工程师,60,11000,
教育产品经理,A,教育产品经理,60,13500,
数字人产品经理,A,数字人产品经理 / 虚拟人PM,18,20000,
数据产品经理,A,数据产品经理,60,15000,
数据可视化工程师,A,数据可视化工程师 / BI工程师,7,12500,
数据标注经理,A,数据标注经理 / 标注项目管理,60,10000,
数据治理工程师,A,数据治理工程师 / 数据管理工程师,60,15000,
新能源电池工程师,A,电池工程师 / 新能源研发工程师,60,9500,
旅行定制师,A,定制旅行顾问 / 旅游策划,60,9000,
景区工作人员,A,景区服务员 / 景区管理,5,4000,仅5条
智能体设计师,A,AI Agent产品经理 / 智能体开发,41,9000,
智能客服训练师,A,智能客服训练师 / 对话AI训练师,60,7000,
机器人产品经理,A,机器人产品经理,53,21500,
机器学习工程师,A,机器学习工程师,60,22500,
材料工程师,A,材料工程师 / 材料研发,60,12500,
档案管理员,A,档案管理员 / 资料员,60,6500,
水管工,A,水暖工 / 管道工,11,9500,
汽修工,A,汽车维修工 / 汽车机修,60,6000,
洗车工,A,洗车工 / 汽车美容,20,4500,
测量员,A,测量员 / 施工测量,60,7000,
消防员,A,企业消防员 / 物业消防值班,60,5000,
游戏策划,A,游戏策划 / 游戏设计师,60,11500,
游戏美术,A,游戏美术 / 游戏原画,29,10500,
物联网工程师,A,物联网工程师 / IoT开发工程师,60,11500,
玻璃工,A,玻璃操作工 / 玻璃加工,60,6500,
理财经理,A,理财经理 / 财富顾问,60,10000,
生物信息分析师,A,生物信息分析师 / 生信工程师,48,11500,
用户增长,A,用户增长 / Growth Hacker,60,13000,
用户研究员,A,用户研究员 / UX Researcher,17,10000,
电焊工,A,电焊工 / 焊接工,60,8000,
直播带货,A,直播主播 / 带货主播,60,8000,
直播电商运营,A,直播电商运营 / 抖音运营,60,9000,
石材工,A,石材加工工 / 石材安装,60,7500,
碳管理经理,A,碳管理经理 / 碳资产管理,60,7500,
社区社工,A,社区社工 / 社区工作者,26,6500,
票务员,A,票务员 / 售票员,60,6500,
程序员,A,软件开发工程师 / 程序员,60,10500,
税务专员,A,税务专员 / 税务会计,60,6500,
精益生产工程师,A,精益生产工程师 / IE工程师,60,11500,
纹身师,A,纹身师,60,6500,
纺织工,A,纺织操作工,20,6000,
美甲师,A,美甲师,60,7500,
联邦学习工程师,A,联邦学习工程师 / 隐私计算工程师,60,10000,
自动化工程师,A,自动化工程师,60,10500,
自动化运营专家,A,自动化运营 / MarTech运营,36,20000,
自动驾驶工程师,A,自动驾驶工程师,40,18000,
自然语言处理工程师,A,NLP算法工程师,20,20000,降级→NLP工程师，高度匹配
芯片设计工程师,A,芯片设计工程师 / IC设计,60,30000,
药剂师,A,执业药师 / 药店药剂师,60,5500,
裁缝,A,裁缝 / 服装修改师,16,6000,
解决方案架构师,A,解决方案架构师,60,21500,
计算机视觉工程师,A,计算机视觉工程师 / CV算法工程师,60,20000,
语音算法工程师,A,语音算法工程师 / ASR/TTS工程师,20,21500,
课程讲师,A,课程讲师 / 培训师,25,10000,
货车司机,A,货车司机 / 物流司机,60,8000,
跨境电商运营,A,跨境电商运营 / 亚马逊运营,60,7500,
配音演员,A,配音演员 / 有声主播,60,7500,
酒店经理,A,酒店经理 / 酒店运营,60,9000,
金融顾问,A,金融顾问 / 理财规划师,60,11500,
钟表维修,A,钟表维修师,60,7000,
钢筋工,A,钢筋工 / 钢筋翻样,35,11500,
银行柜员,A,银行柜员 / 银行客户经理,60,11000,
锅炉工,A,锅炉操作工,20,6000,
音乐制作人,A,音乐制作人 / 编曲师,4,9000,
风控分析师,A,风控分析师 / 风险管理,60,10500,
食品加工工人,A,食品加工操作工,60,6000,
食品安全工程师,A,食品安全工程师 / 质量安全,7,9000,
高空作业工,A,高空作业人员 / 外墙施工,35,8000,
AIGC视频导演,B,AIGC导演 / AI视频制作,60,9000,搜到AIGC相关但导演岗少
AI内容创作者,B,AI内容运营 / AI内容编辑,40,8500,降级→AI内容
AI商业顾问,B,AI售前顾问 / AI解决方案顾问,40,11500,降级→AI顾问，偏销售端
AI教育导师,B,AI教育产品经理 / AI培训讲师,40,14000,降级→AI教育
AI知识库工程师,B,知识图谱工程师 / 知识库运营,25,16000,降级→知识库
RPA流程设计师,B,RPA开发工程师 / RPA实施顾问,40,9500,降级→RPA
交通管理执法,B,交通管理 / 安全管理（企业端）,27,9000,
公共卫生专员,B,公共卫生管理 / 卫生专员,4,6500,
公立学校教师,B,教师（以民办/培训机构为主）,60,7500,
出租车司机,B,网约车司机 / 货运司机（混合结果）,60,9000,
国有企业工程师,B,国企技术岗（偏电力/建筑方向）,60,10500,
多模态算法工程师,B,多模态AI算法工程师,24,17500,降级→多模态，含模态分析等噪声
电力公司员工,B,电力工程师 / 电力施工员（非电网正编）,60,9000,
穿搭顾问,B,服装搭配师 / 时尚顾问,2,17500,仅2条
网店店主,B,电商运营 / 网店运营专员（非店主）,60,4500,
自由撰稿人,B,编辑 / 文案策划 / 撰稿人,60,9000,
虚拟人运营,B,数字人运营 / 虚拟主播运营,40,9500,降级→数字人运营
邮政员工,B,邮政快递员 / 邮政客服（非正编）,60,7000,
铝合金门窗工,B,门窗安装工 / 铝合金销售,60,10000,
隧道工,B,隧道施工员 / 隧道安全员（偏管理）,60,10000,
高校行政,B,高校行政人员 / 教务管理,4,5500,
AI伦理官,C,AI数据治理工程师 / AI合规经理,3,22500,降级→AI治理，实际是治理/合规岗
AI质检师,C,质检工程师（传统质检）,40,10000,降级→质检工程师，非AI专属
公共资源交易管理,C,⚠ 降级搜索，仅2条公共资源部经理,2,15500,体制内岗位
手工艺人,C,手工艺设计师,3,6500,降级→手工艺，仅3条
抹灰工,C,普工 / 建筑粉刷工,1,6500,仅1条
摄影工作室主理人,C,摄影师,3,6500,仅1条
模特经纪,C,艺人经纪人 / 家政经纪人,40,9000,降级→经纪人，含多类
法院书记员,C,法院驻场文员 / 法律辅助人员,60,5000,非正式编制书记员
渔民,C,渔业技术员 / 水产养殖管理（非传统渔民）,31,12000,降级→渔业
独立咨询顾问,C,课程咨询顾问,1,7500,仅1条，不具代表性
矿工,C,矿山普工 / 护矿工,5,6500,仅5条
算力调度工程师,C,云计算平台工程师 / GPU资源运维,2,15000,降级→算力调度，仅2条
铁路调度员,C,铁路操作员 / 物流调度,1,8000,仅1条
事业单位管理,D,⚠ 搜到的是管理咨询/健康管理等混杂岗位,60,7500,非真正事业编
二手交易商,D,⚠ 降级→二手交易，搜到房产经纪,2,15500,仅2条
公务员,D,⚠ 招聘网无真正公务员岗，数据为培训讲师/销售假借名义,60,9000,"搜到的是""像公务员的工作""等营销话术"
农民,D,⚠ 搜到的是农业企业的普工/操作工,26,6500,自耕农不走招聘网
占星咨询师,D,⚠ 搜到的是工程咨询/教育咨询师,60,9500,占星非主流招聘岗位
国企员工,D,⚠ 搜到的是国企外包客服/劳务派遣,60,7500,非正式国企编制
审计局工作人员,D,⚠ 降级搜索→审计局，搜到政府关系/审计合伙人,3,12500,体制内不走招聘网
微商,D,⚠ 搜到的是普通销售岗,60,8500,微商非正式招聘岗
摆摊商贩,D,⚠ 降级→摆摊，搜到的是小区地推/业务员,40,11000,非真正摆摊数据
果农,D,⚠ 降级→果园，搜到的是商场导购/置业顾问,40,5500,果农不走招聘网，薪资数据无效
检察官助理,D,⚠ 搜到的是各类助理岗（非司法系统）,60,6000,法院/检察院通过公考招聘
独立游戏开发者,D,⚠ 搜到的是游戏代练/跑腿等低价兼职,60,205,薪资数据完全无效
